index,link,judul,tanggal,narasi,label,,,
0,https://republika.co.id/berita/r19ysl314/petani-milenial-tasikmalaya-budidayakan-melon-organik,In Picture: Petani Milenial Tasikmalaya Budidayakan Melon Organik,Rabu 20 Oct 2021 19:02 WIB,"REPUBLIKA.CO.ID, TASIKMALAYA -- Petani Milenial Tasikmalaya (Pelita) Dadan Ridwan mengukur pertumbuhan melon organik di Taman Hati Farm, Tamansari, Kota Tasikmalaya, Jawa Barat, Selasa (19/10/2021).

Pelita memanfaatkan teknologi modern dengan mengubah lahan tidak produktif menjadi kawasan budidaya melon golden alisha, kirani, dan dalmatian dengan sistem green house, serta menjual melon dengan sistem petik sendiri di lokasi. ",1,,,
1,https://news.detik.com/berita-jawa-barat/d-3768420/ini-simon-warga-bandung-yang-ubah-air-hujan-jadi-layak-minum,"Ini Simon, Warga Bandung yang Ubah Air Hujan Jadi Layak Minum","detikNewsSenin, 16 Okt 2017 14:15 WIB","Bandung - Sejak lama Kota Bandung dikenal sebagai daerah yang warganya kreatif dan inovatif. Hal itu pula yang tercermin dari seorang warga di Kelurahan Ciroyom, Kecamatan Andir, Kota Bandung.

Simon Y Sanjaya (53) namanya. Warga yang tinggal di Komplek Rajawali Plaza No 10, Jalan Rajawali Timur, RT 5 RW 4, Kelurahan Ciroyom, Kecamatan Andir, Kota Bandung ini berhasil memanfaatkan air hujan untuk kebutuhan sehari-hari.
Ini Simon, Warga Bandung yang Ubah Air Hujan Jadi Layak MinumFoto: Tri Ispranoto


Pemanfaatan air hujan itu bermula dari Simon dan keluarga tinggal di Rajawali pada tahun 1996. Sejak saat itu dia menggunakan sumur bor untuk mendapatkan air. Rupanya air yang dihasilkan mengandung zat besi yang tinggi sehingga tidak baik.

ADVERTISEMENT
Image parallax1

SCROLL TO RESUME CONTENT

""Jadi dipompa awalnya bening, sejam kemudian kuning. Mulai dari situ saya muncul ide untuk mencari sumber air yang baik,"" ujar Simon kepada detikcom di rumahnya, Rabu (13/12/2017).

Sekitar tahun 2012, Simon mencoba memanfaatkan air hujan yang mengalir dari atap rumahnya untuk ditampung di tangki dan bak air. Pada percobaannya itu air yang dihasilkan bersih namun masih terdapat kotoran.
Ini Simon, Warga Bandung yang Ubah Air Hujan Jadi Layak MinumFoto: Tri Ispranoto

Setelah melakukan beberapa kali percobaan akhirnya didapat cara agar air hujan tersebut benar-benar bersih. Caranya adalah dengan mengalirkan air hujan ke sejumlah pipa yang tersambung ke tangki dan bak penampungan.

""Sepuluh menit pertama, air itu jangan langsung ditampung tapi dibuang. Setelahnya baru kita panen (tampung) air hujan,"" katanya.

Rupanya metode tersebut berhasil dan Simon terus memanfaatkan air hujan untuk kebutuhan sehari-hari seperti mencuci, mandi hingga menyiram tanaman hidroponik di rumahnya.

Berjalannya waktu Simon kembali mendapatkan ide untuk memanfaatkan air hujan tersebut untuk air minum. Setelah mempelajari proses isi ulang air minum dalam kemasan, pria lulusan Teknologi Pangan Unpas ini membuat sebuah alat yang bisa mengubah air hujan menjadi air minum.

""Dengan alat ini air hujan yang kita panen diproses sehingga layak minum. Melalui ultra violet kuman dan zat berbahaya akan mati. Sehingga air yang dihasilkan lebih sehat dari air minum dalam kemasan,"" katanya.

Pernyataan itu bukan tanpa alasan, Simon berani menjamin air olahannya itu lebih sehat lantaran telah melakukan uji lab di Dinkes Kota Bandung. Hasilnya air minum tersebut sangat layak konsumsi.

Bapak tiga orang anak ini berharap apa yang dilakukannya selama ini bisa menginspirasi warga lain untuk memanfaatkan air hujan yang melimpah untuk kebutuhan sehari-hari. Selain sehat, pemanfaatan air hujan juga bisa menghemat pengeluaran bulanan. (avi/avi)

Baca artikel detiknews, ""Ini Simon, Warga Bandung yang Ubah Air Hujan Jadi Layak Minum"" selengkapnya https://news.detik.com/berita-jawa-barat/d-3768420/ini-simon-warga-bandung-yang-ubah-air-hujan-jadi-layak-minum.

Download Apps Detikcom Sekarang https://apps.detik.com/detik/",1,,,
2,https://www.cnnindonesia.com/ekonomi/20200831135353-297-541138/bri-beri-pelatihan-ketahanan-pangan-keluarga-untuk-umkm,BRI Beri Pelatihan Ketahanan Pangan Keluarga untuk UMKM,"BRI, CNN Indonesia | Senin, 31/08/2020 00:00 WIB","Jakarta, CNN Indonesia -- Bank BRI terus memberikan dukungan untuk membangkitkan Usaha Mikro, Kecil dan Menengah (UMKM) di Indonesia melalui beragam pelatihan virtual/kelas online. Pendampingan virtual dengan tema 'Ketahanan Pangan Keluarga' diberikan bagi pelaku usaha di berbagai daerah di Indonesia dalam rangka mendorong ketahanan pangan nasional.
Dalam kelas online ini pelaku usaha mendapatkan berbagai materi pelatihan seperti budi daya ayam skala rumah tangga, budi daya aquaponik (dua komoditas sekali panen), manajeman perkandangan, pakan sapi perah, serta manajemen pakan sapi potong. Melalui pelatihan ini, pelaku usaha diharapkan bisa menjadi petani maupun peternak yang dapat mengembangkan skala usaha.
""Kami terus hadir dalam memberikan pendampingan di tengah pandemi. Antusiasme petani cukup tinggi dan materi yang diberikan diharapkan membantu memberikan motivasi sekaligus solusi bagi pelaku usaha seperti petani dan peternak,"" ungkap Corporate Secretary Bank BRI Aestika Oryza Gunarto.

Dalam kelas budi daya ayam, pelaku usaha diberikan materi tentang budi daya ayam portable yang sangat direkomendasikan bagi pelaku usaha di wilayah perkotaan yang memiliki keterbatasan lahan usaha. Pelaku usaha diberikan beberapa tips membuat kandang ayam yang layak serta memilih jenis induk ayam dan pakan yang cocok sehingga mampu menghasilkan ternak ayam berkualitas.
Dalam kelas aquaponik, peserta kelas online mendapatkan materi tentang sistem produksi sayuran yang diintegrasikan dengan budi daya hewan air (ikan, udang, atau siput) dalam satu lingkungan simbiosis. Dengan mengikuti kelas ini, pelaku usaha bisa mendapatkan pengetahuan tentang keberagaman produksi pangan lokal dan meningkatkan pengetahuan tentang produksi pangan sehat bebas pencemaran.
""Sektor pangan menjadi salah satu fokus BRI dalam mendukung ketahanan pangan nasional. Kelas aquaponik bisa menjadi solusi bagi pelaku usaha terutama petani modern karena sudah memadukan antara economic impact dan enviroment impact,"" imbuh Aestika.
Pelaku usaha juga diberikan pengetahuan tentang beternak sapi perah dan sapi potong dengan pelatihan tentang managemen perkandangan dan manajemen pakan baik untuk sapi perah maupun sapi potong. Dengan pelatihan ini, para peternak sapi mendapatkan pengetahuan dalam menghasilkan produksi susu sapi berkualitas tinggi dengan biaya produksi pakan yang murah.
Sementara itu, dalam manajemen pakan sapi potong, pelaku usaha diberikan pengetahuan tentang metode penggemukan sapi potong dengan pakan yang murah. Dengan metode ini, para peternak bisa menghasilkan sapi potong berkualitas tinggi dan hemat pakan hingga 80%.
""Kami juga memfasilitasi pelaku usaha yang mau mendapatkan materi melalui Aplikasi Wirausahabrilian atau dapat mengunduhnya di website www.wirausahabrilian.bri.co.id. Semoga bermanfaat,"" pungkas Aestika.
Ke depannya, BRI akan terus hadir bagi pelaku usaha melalui kelas-kelas online lainnya dengan materi pelatihan di semua sektor usaha serta menghadirkan pemateri-pemateri yang mampu mendorong motivasi pelaku UMKM di Indonesia untuk tetap produktif dan berkembang dalam kapasitas usaha.
(BRI)",0,,,
3,https://www.cnnindonesia.com/ekonomi/20210427174311-83-635534/bri-peduli-bantu-urban-farming-di-18-lokasi-indonesia,BRI Peduli Bantu Urban Farming di 18 Lokasi Indonesia,"BRI, CNN Indonesia | Selasa, 27/04/2021 17:47 WIB","Jakarta, CNN Indonesia -- BRI mewujudkan komitmen tanggung jawab sosial di bidang lingkungan dengan menyelenggarakan kegiatan yang secara nyata dapat mendorong kualitas hidup perempuan di Indonesia, yakni melalui program BRI Peduli Woman Comuni-Tree.
Mengusung semangat Hari Kartini 2021, BRI memberi bantuan urban farming senilai total Rp1,8 miliar bagi kelompok PKK, Kelompok Usaha Wanita atau kelompok wanita yang tersebar di 18 wilayah Indonesia. Bantuan urban farming berupa pembangunan fisik seperti rumah tanaman atau green house untuk menunjang kegiatan, serta tanaman bernilai ekonomi seperti sayur-sayuran, buah-buahan, serta tanaman obat keluarga (toga) dan tanaman hidroponik.
Nantinya, urban farming ini akan dikelola oleh kelompok wanita yang berada di wilayah tersebut. Corporate Secretary BRI Aestika Oryza Gunarto mengatakan, program BRI Peduli Woman Comuni-Tee merupakan bentuk kepedulian dan tanggung jawab BRI dalam mendukung kelestarian lingkungan.

BRI memberi bantuan urban farming senilai total Rp1,8 miliar bagi kelompok PKK atau kelompok wanita lainnya di 18 wilayah Indonesia. (Foto: Arsip Bank BRI)
""Peringatan Hari Kartini juga dimaknai sebagai momentum untuk meningkatkan kualitas dan peran perempuan di segala sektor. Secara bertahap bantuan urban farming tersebut disalurkan di 18 wilayah di Indonesia,"" kata Aestika.
Dalam pelaksanaannya, kegiatan urban farming ini juga melibatkan Srikandi BRI, yakni komunitas yang dinaungi BRI. Beranggotakan pekerja perempuan BRI Group baik secara aktif maupun purna tugas, mereka mengambil peran dalam memberdayakan perempuan di bidang kewirausahaan sosial dan kepedulian terhadap lingkungan.
""Kelompok usaha wanita yang menjalankan urban farming nantinya akan berkoordinasi dengan Srikandi BRI di wilayah setempat yang harapannya bisa saling berkolaborasi untuk bisa mewujudkan lingkungan yang sehat dan lestari,"" ujar Aestika.
Aestika menambahkan, urban farming diharapkan dapat mereduksi polusi lingkungan, menambah keasrian, serta mengurangi sampah rumah tangga. Di sisi lain, sekaligus menjadi perwujudan kontribusi positif dari perempuan.
(rea)",1,,,
4,https://www.cnnindonesia.com/ekonomi/20210331172942-83-624547/gerakan-indonesia-bersih-edukasi-masyarakat-jaga-lingkungan,"Gerakan Indonesia Bersih, Edukasi Masyarakat Jaga Lingkungan","BRI, CNN Indonesia | Rabu, 31/03/2021 17:51 WIB","Jakarta, CNN Indonesia -- Lingkungan yang bersih dan lestari memberi dampak positif bagi kelangsungan hidup manusia. Meski begitu, masih banyak perilaku buruk terhadap lingkungan seperti membuang sampah sembarangan, menebang pohon secara liar, sampai penggunaan kemasan plastik.
Perilaku-perilaku buruk itu tentu bisa menimbulkan beragam bencana mulai dari banjir hingga longsor dan sebagainya.
Salah satu masalah lingkungan yang dihadapi masyarakat perkotaan saat ini adalah sampah. Persoalan sampah terus meningkat seiring dengan peningkatan aktivitas masyarakat kota yang tidak diimbangi jumlah tempat pembuangan sampah memadai.

Menyadari hal tersebut, Dharma Wanita Persatuan (DWP) Kementerian Badan Usaha Milik Negara (BUMN) dan Ikatan Istri Pimpinan (IIP) BUMN mengambil peran melalui 'Gerakan Indonesia Bersih', sebuah program yang mendukung Gerakan Revolusi Mental yang telah dicanangkan oleh Presiden Joko Widodo.
Tim Gerakan Indonesia Bersih melakukan kegiatan dengan agenda edukasi pengelolaan sampah dan penataan sarana pra sarana fisik Sungai Pagarsih, Kota Bandung. (Dok. BRI).
Tujuan utama dalam gerakan ini adalah menjaga kebersihan dan kelestarian alam Indonesia dengan mengurangi dampak buruk sampah bagi lingkungan sekitar. Untuk mendukung dan melaksanakan Gerakan Indonesia Bersih ini, DWP Kementerian BUMN dan IIP BUMN membentuk sebuah Tim Gerakan Indonesia Bersih, yang beranggotakan Ibu-ibu dari DWP Kementerian BUMN dan IIP BUMN.
Salah satu kegiatan yang dijalankan adalah Program Bersih-Bersih Sungai #JagaSungaiJagaKehidupan sebagai bentuk dukungan bagi kelestarian sungai.
Penasihat DWP Kementerian BUMN dan Ketua Umum IIP BUMN, Liza Erick Thohir mengatakan, sungai memiliki peran vital sebagai penyangga siklus kehidupan alam sekitar. Program ini merupakan salah satu upaya mengembalikan fungsi dan manfaat sungai bagi manusia dan alam sekitar.
""Sungai yang bersih, sehat dan bebas dari sampah pada akhirnya akan memberikan dampak positif bagi kelestarian lingkungan dan membawa perbaikan kualitas hidup masyarakat"" ungkap Liza.
Tim Gerakan Indonesia Bersih telah melaksanakan Program Bersih-bersih Sungai #JagaSungaiJagaKehidupan di Sungai Pagarsih, Kota Bandung, Jawa Barat. Kegiatan ini dilakukan dengan dua agenda utama yaitu edukasi pengelolaan sampah dan penataan sarana pra sarana fisik di bantaran sungai.
Dalam edukasi pengolahan sampah, masyarakat dibekali pengetahuan untuk memilah sampah rumah tangga, yaitu sampah organik dan anorganik. Sampah organik yang sudah dipilah kemudian diolah dengan metode composting bin yaitu pengolahan sampah organik dengan memanfaatkan Maggot BSF (Black Soldier Fiy). Hasilnya dapat dimanfaatkan untuk pupuk kompos, tambahan pakan ternak, urban farming, bahkan bisa diolah menjadi biogas.
""Dalam pelatihan tentang sampah kami menghadirkan Guru Besar Institut Pertanian Bogor yaitu Arief Sabdo Yuwono dan Ibu-ibu Anggota Tim Gerakan Indonesia Bersih DWP Kementerian BUMN-IIP BUMN,"" kata Rena Sunarso selaku Ketua Tim Gerakan Indonesia Bersih.
""Setelah pelatihan dilaksanakan, monitoring dan evaluasi juga dilakukan untuk memastikan pelatihan yang diberikan dapat diimpelmentasikan oleh masyarakat', tambahnya.
Sementara penataan sarana prasarana di pinggir Sungai Pagarsih dilakukan di dua lokasi. Pertama, di RW 01 Kelurahan Babakan Taragong, Kecamatan Bojong Loa Kaler dan kedua, di RW 04 Kelurahan Cibadak, Kecamatan Astana Anyar, Kota Bandung.
Tim Gerakan Indonesia Bersih beranggotakan Ibu-ibu dari DWP Kementerian BUMN dan IIP BUMN. (Dok. BRI).
Untuk RW 01, telah dilakukan penataan sarana dan prasarana berupa pembersihan, pengecoran, pengecatan di sepanjang bantara sungai, pembangunan wastafel, serta pengadaan tong sampah terpilah organik dan non organik di 5 titik lokasi.
Kemudian pengadaan composting bin, pengadaan Kolam Fiber dan budidaya lele, pembuatan vertical garden di 5 titik lokasi, pengadaan urban farming, playground, dan tempat sampah untuk 100 Kepala Keluarga (KK).
Untuk wilayah RW 04 dilakukan penataan dan pembangunan MCK umum 3 pintu, renovasi MCK dan tempat wudhu masjid, pengadaan composting bin, dan pengadaan tempat sampah untuk 100 KK.
""Program kami ini tidak hanya menata dan memperbaiki sungai menjadi asri dan lestari, namun kami juga memberi solusi dalam mengatasi persoalan sampah dan menggerakkan ekonomi masyarakat,"" tegas Rena Sunarso.
Ke depannya Gerakan Indonesia Bersih akan dilakukan di daerah lain dengan berbagai bentuk kegiatan yang secara langsung dapat memberkan manfaat bagi kesehatan lingkungan dan kesejahteraan masyarakat.
(osc)


Saksikan Video di Bawah Ini:
VIDEO: Jokowi: Rehabilitasi Mangrove Harus Kita Lakukan",1,,,
5,https://www.cnnindonesia.com/hiburan/20210222130041-305-609323/mentan-apresiasi-ponpes-optimalkan-lahan-jadi-sumber-pangan,Mentan Apresiasi Ponpes Optimalkan Lahan Jadi Sumber Pangan,"Advertorial, CNN Indonesia | Senin, 22/02/2021 00:00 WIB","Jakarta, CNN Indonesia -- Menteri Pertanian Syahrul Yasin Limpo mengunjungi Green House yang dikelola Pondok Pesantren Al-Ghazali Bogor. Ia mengapresiasi apa yang telah dilakukan Ponpes tersebut dalam memanfaatkan setiap jengkal lahan untuk dioptimalkan sebagai penghasil sumber pangan.
""Kerja-kerja pertanian itu adalah perintah Nabi dan Tuhan. Ia menembus langit, dan lintas transendensi. Menyediakan pangan sebagai sumber kehidupan adalah sesuatu yang mulia,"" ujar Syahrul dalam keterangan tertulis, Senin (22/2/2021).
Oleh karena itu, mengelola pertanian menurutnya tidak bisa dilakukan sendiri. Harus melibatkan tangan-tangan lain.

""Saya bahagia sekali. Hari ini ditunjukkan bagaimana kerja-kerja kolaboratif itu mamang bisa dilakukan dan dampaknya nyata. Pondok Pesantren, legislatif, Pemda dan BI bisa sinergi. Kementan siap support Pak Wali,"" ungkapnya saat panen Bayam di Ponpes Al-Ghazali Bogor, Minggu (21/2).
Hadir dalam acara panen tersebut Wali Kota Bogor, Bima Arya Sugiarto, Anggota DPR RI Daerah Pemilihan Kota Bogor, Ecky Awal Mucharam, dan Pimpinan Ponpes Al Ghazaly, KH Mustofa Abdullah.
Syahrul menuturkan pada masa pandemi ini ketahanan pangan adalah hal yang krusial. Karenanya, setiap terjadi kontraksi dan turbulensi pada sektor pertanian, dibutuhkan kerja sama dan kolaborasi dengan pihak lain.
""Masing-masing dari kita bisa memainkan peran dengan memanfaatkan setiap jengkal lahan. Karena pertanian bisa dilakukan di depan rumah, bisa dilakukan lingkungan Ponpes dengan konsep urban farming,"" imbuhnya.
Diketahui, Kementan memang intens menggandeng berbagai pihak dalam mengembangkan pertanian termasuk pondok pesantren melalui program santri milenial pertanian.

Seorang santri bagi Kementan merupakan sosok istimewa yang mencerminkan karakter yang baik dalam akhlak maupun ilmu yang memiliki potensi untuk mengembangkan sistem pertanian terintegrasi sebagai upaya mendorong kemandirian di sektor pertanian.

Pasalnya, hampir setiap pondok pesantren memiliki lahan yang luas sehingga sangat potensial untuk dikembangkan sebagai lahan pertanian dengan melibatkan para santrinya.

""Indonesia memiliki harapan besar kelak di saat santri nantinya setelah lulus dari pondok memiliki kemampuan sebagai entrepreneur di bidang pertanian dan syukur bisa menjadi job seeker dan job creator,"" pungkasnya.
Diketahui, Mentan SYL bersama Wali Kota Bogor, Bima Arya Sugiarto, Anggota DPR RI Daerah Pemilihan Kota Bogor, Ecky Awal Mucharam, dan Pimpinan Ponpes Al Ghazaly, KH Mustofa Abdullah, melakukan panen Bayam yang dikembangkan dengan sistem hidroponik.
(adv/adv)",1,,,
6,https://www.cnnindonesia.com/nasional/20210213205307-20-605938/penantian-warga-kampung-bayam-kena-gusur-proyek-stadion-anies,Penantian Warga Kampung Bayam Kena Gusur Proyek Stadion Anies,"CNN Indonesia | Minggu, 14/02/2021 10:05 WIB","Jakarta, CNN Indonesia -- Di ujung Jalan Tongkol, Pademangan, Jakarta Utara, sebuah tenda beratap terpal kokoh berdiri. Tak begitu besar, tapi cukup sebagai tempat berlindung sejumlah ibu-ibu dan bocah dari gerimis yang turun di ibu kota, Kamis sore (11/2).
Beberapa meter dari tenda itu, empat orang pria tengah beraktivitas. Bersepatu boot, lengkap dengan topi. Keempatnya tampak membuat pondasi rumah. Mereka semua adalah warga Kampung Bayam, Papanggo, Tanjung Priok, Jakarta Utara. Daerah ini terdampak proyek pembangunan Jakarta International Stadium (JIS).

Pemandangan orang berteduh dan bekerja yang terlihat itu bukan tanpa sebab. Salah seorang dari mereka, Husni Mubarok, menceritakan kondisi warga yang ada di sana kepada CNNIndonesia.com.

""Jakpro (pengembang proyek JIS) tadi mendatangkan backhoe (alat berat), mereka bilang kedatangan untuk membuka saluran air. Tetapi mereka datang membawa surat bermeterai, meminta agar kita segera pindah,"" kata Husni. Ia memperlihatkan surat itu kepada CNNIndonesia.com.

Husni bilang, alat berat itu memang sempat terlihat mengeruk selokan air, namun, kata dia, alat berat itu juga maju ke arah rumah warga.

""Tambah maju. Terus kami bilang, kalau maju lagi, kami enggak bisa tanggung, apakah ini (situasi) kondusif atau tidak. Setelahnya ada aba-aba, terus backhoe itu mundur,"" ucap dia.
Kilas Balik
Husni mengatakan, berdasarkan data dari Jakpro, total ada 627 Kepala Keluarga (KK) di Kampung Bayam yang terdampak proyek JIS.

Pada 2019 lalu, kata dia, Gubernur DKI Jakarta Anies Baswedan tak mau ada penggusuran di tempat itu, namun dilakukan penataan kampung.

""Pada 28 Agustus 2019 saat Rapim, Pak Anies berikan instruksi penataan kampung, untuk mempertahankan konsep kampung. Beri instruksi ke pihak Jakpro bahwa penataan Kampung Bayam, tidak ada penggusuran, tapi penataan kampung. Cuma dikembalikan lagi ke pihak Jakpro seperti apa,"" kata dia.

Setelah proses itu, ia menyebut pihak Jakpro kemudian menurunkan konsultan/surveyor ke warga untuk menilai bangunan. Pemilik bangunan lantas diberikan santunan sekitar Rp28-40 juta, sementara pengontrak sekitar Rp4-6 juta secara bertahap.

Namun, negosiasi antara Jakpro dan warga tidak berjalan mulus. Tak semua warga mau membuat rekening untuk proses pencairan dana santunan.

Dari total sekitar 627 KK, ada 50 KK yang keberatan untuk membuat rekening. Warga sebanyak 50 KK ini, kata Husni, merupakan Kelompok Urban Farming. Husni sendiri merupakan Sekretaris di Urban Farming.

""Karena kita keberatan, kita minta ditata. Kita menagih janji,"" ucap dia.

Dalam perjalanannya, pada 27 Juli 2020, ia mengatakan ada pertemuan antara perwakilan Urban Farming dengan pihak Jakpro. Dalam pertemuan itu, pihak Jakpro menyanggupi ketersediaan rumah deret sebanyak 50 unit yang berdampingan dengan JIS.

""Jakpro menyanggupi ketersediaan rumah deret sebanyak 50 unit. Dan 14 unit diupayakan dalam kualifikasi,"" ucap dia.

Setelah pertemuan itu, warga lalu mencari pendampingan ke Urban Poor Consortium Dan Universitas Indonesia untuk membantu merancang konsep kampung.

Sementara di sisi lain, proses pencairan dana bagi warga lainnya yang telah membuat rekening terus berjalan dan mereka berangsur-angsur meninggalkan Kampung Bayam.

""Agustus itu mulai pencairan santunan, dan berangsur-angsur pergi meninggalkan lokasi, ada juga warga yang pulang kampung,"" kata dia.

Tagih Janji Hunian
Usai adanya pernyataan kesanggupan dari Jakpro terkait 50 unit hunian, dalam praktiknya, Husni menyatakan, tidak ada tindak lanjut yang dilakukan oleh pihak Jakpro kepada warga kelompok urban farming mengenai zonasi hunian jangka panjang.

Warga, kata dia, berusaha meminta kejelasan kepada Jakpro, terkait dimana mereka akan ditempatkan, kapan proses pembangunan dimulai dan diselesaikan. Namun warga tak kunjung mendapatkan titik terang.

Di tengah ketidakpastian itu, warga mencoba mencari jalan keluar dengan berkonsultasi kepada Tim Gubernur Untuk Percepatan Pembangunan (TGUPP).
Ia menyebut TGUPP lalu mencari lahan yang bisa untuk digunakan warga sebagai tempat hunian sementara. Lahan itu, adalah yang terletak di Jalan Tongkol.
""Kita kan menanti kepastian jangka panjang, namun belum ada kepastian, kita mengajukan mediasi pendamping. Dari TGUPP mengarahkan kesini (Jalan Tongkol)"" ucap dia.

Seiring dengan penyediaan lahan itu, warga Urban Farming yang sebelumnya belum membuat rekening, secara bertahap membuat. Dana santunan ganti untung yang diberikan, digunakan untuk keperluan membangun di lahan yang disediakan TGUPP.
""Karena mediasi TGUPP sudah menyediakan hunian jangka pendek, lalu warga membuat rekening untuk membangun di lahan Huntara (Hunian Sementara). Dimulai pembangunan Januari,"" kata dia.

Ia mengatakan warga akan tetap bertahan di Kampung Bayam sebelum mendapat kejelasan dari pihak Jakpro terkait dengan kepastian hunian jangka panjang.
Menurut dia, prinsip warga bukan mengemis, melainkan menagih janji yang pernah disampaikan.

""Tuntutan warga penetapan lokasi jangka panjang yang dikatakan berdampingan dengan JIS, dan kita dilibatkan dalam proses itu. Jadi perekonomian kita dilibatkan. Kapan dimulai pembangunan, kapan selesai, setelah itu kita akan pindahkan barang-barang kita ke hunian sementara,"" ucap dia
Menurut dia, prinsip warga bukan mengemis, melainkan menagih janji yang pernah disampaikan.

""Tuntutan warga penetapan lokasi jangka panjang yang dikatakan berdampingan dengan JIS, dan kita dilibatkan dalam proses itu. Jadi perekonomian kita dilibatkan. Kapan dimulai pembangunan, kapan selesai, setelah itu kita akan pindahkan barang-barang kita ke hunian sementara,"" ucap dia",0,,,
7,https://www.cnnindonesia.com/nasional/20201223181025-20-585816/pansus-dprd-ungkap-problem-rencana-penanggulangan-banjir-dki,Pansus DPRD Ungkap Problem Rencana Penanggulangan Banjir DKI,"CNN Indonesia | Kamis, 24/12/2020 03:54 WIB","Jakarta, CNN Indonesia -- Panitia Khusus (Pansus) Banjir DPRD DKI Jakarta merekomendasikan sejumlah perbaikan terkait penanganan dan pencegahan banjir di Ibu Kota. Salah satunya lantaran rencana penanganan yang masih berpatok pada kondisi Jakarta 47 tahun silam.
Ketua Pansus Banjir DPRD DKI Jakarta Zita Anjani mengungkapkan, rekomendasi dibuat setelah Pansus membahas melalui rapat internal, rapat dengan instansi terkait, mendengar paparan dari para pakar, serta kunjungan ke lapangan.
""Kami menemukan beberapa kebijakan dalam penanggulangan banjir yang belum tepat sasaran, sehingga perlu dievaluasi dan kami beri rekomendasi,"" terang Zita dalam Rapat Paripurna di Gedung DPRD DKI Jakarta, Rabu (23/12).

Dalam tataran kebijakan, Pansus merekomendasikan agar Pemprov DKI meng-upgrade atau memperbaiki master plan terbaru penanggulangan banjir. Sebab, menurut Pansus, selama ini penanggulangan banjir di Jakarta masih menggunakan Grand Master Plan tahun 1973 sebagai rujukan utama.
Lihat juga:Jalan Panjang Jokowi Racik Jurus Atasi Ruwet Investasi di RI
Padahal jika melihat kondisi pemanfaatan ruang dan lahan saat ini, sudah jauh berubah dengan kondisi tata ruang pada 1973 silam. Ia mencontohkan, pada 1978, Ruang Terbuka Hijau (RTH) dan Ruang Terbuka Biru (RTB) berada di angka 79,66 persen dan ruang wilayah terbangun pada saat itu berada di angka 20,34 persen.
Namun setelah 2015, RTH dan RTB DKI Jakarta menyusut ke angka 9,15 persen dan pemanfaatan ruang terbangun meningkat menjadi 90,85 persen.
Pansus banjir pun merekomendasikan upgrade master plan terbaru nantinya harus memuat dua hal penting, yakni preliminary studies dan infrastruktur plan. Zita menerangkan, preliminary studies merupakan penelitian pendahuluan atau prasurvey secara ilmiah yang dapat mengidentifikasi titik jatuhnya air, aliran air, dan debet air, atau yang lebih dikenal dengan flood simulation.
Pansus juga merekomendasikan Pemprov DKI meningkatkan sistem peringatan dini dan evakuasi. Menurut Pansus, Pemprov harus mengedukasi masyarakat soal pengetahuan dan teknologi peringatan dini.
Infografis Fakta Banjir Jabodetabek 24-26 Februari 2020. (Foto: CNNIndonesia/Asfahan Yahsyi)
Lebih lanjut Pansus meminta Pemprov DKI Jakarta memanfaatkan Flood Information System seperti BMKG Centre dan Jakarta Smart City, guna memberi peringatan dini lebih awal ke masyarakat.
""Selain itu, sediakan tempat penyimpanan barang-barang berharga, dan juga sediakan lahan parkir kendaraan yang bebas dari banjir,"" papar Zita.
""Pemerintah juga harus menyiapkan standar penanganan banjir pasca bencana, seperti tempat penampungan yang layak huni, dan membuka dapur umum yang menyediakan kebutuhan makanan warga selama terevakuasi,"" kata dia menambahkan.
Lihat juga:BPBD DKI: 82 Kelurahan di Jakarta Rawan Banjir
Tidak hanya itu, pansus banjir juga merekomendasikan Pemprov agar memberikan kesempatan masyarakat untuk turut andil mengurangi risiko banjir dengan cara membina warga membangun rumah kompos, melakukan urban farming, membudayakan semangat gotong royong, dan mengkampanyekan bahaya banjir.
Pansus Banjir DPRD DKI berharap Pemerintah Provinsi DKI Jakarta menjalankan pelbagai rekomendasi tersebut.
Lihat juga:Daftar Wilayah dengan Prediksi Cuaca Ekstrem BMKG
(dmi/nma)


Saksikan Video di Bawah Ini:
VIDEO: Anies Targetkan Banjir Tanpa Korban Dan Surut 6 Jam",0,,,
8,https://www.cnnindonesia.com/gaya-hidup/20201130155010-279-576222/foto-menikmati-hasil-panen-serentak-urban-farming-di-jakarta,FOTO: Menikmati Hasil Panen Serentak Urban Farming di Jakarta,"CNN Indonesia | Senin, 30/11/2020 20:27 WIB","Jakarta, CNN Indonesia -- Dinas Ketahanan Pangan Kelautan dan Pertanian DKI Jakarta menyelenggarakan kegiatan panen serentak hasil urban farming. Jakarta, Senin (30/11/2020).",1,,,
9,https://www.cnnindonesia.com/gaya-hidup/20201121140625-286-572729/foto-belajar-urban-farming-di-timur-jakarta,FOTO: Belajar Urban Farming di Timur Jakarta,"CNN Indonesia | Sabtu, 21/11/2020 17:52 WIB","Jakarta, CNN Indonesia -- Memperingati Hari Pohon Sedunia, sejumlah anak dan warga belajar mengenai urban farming dan pengolahan sampah.",1,,,
